feature_index,feature_column,feature_label,feature_description,observed_count,observed_relative,simulated_endpoint_count_mean,simulated_endpoint_count_sd,simulated_endpoint_count_min,simulated_endpoint_count_q25,simulated_endpoint_count_median,simulated_endpoint_count_q75,simulated_endpoint_count_max,simulated_relative_mean,simulated_relative_sd,simulated_relative_min,simulated_relative_q25,simulated_relative_median,simulated_relative_q75,simulated_relative_max,relative_error_sim_mean_minus_observed,absolute_relative_error
0,Att_Abort,Abortion,Attitude item on abortion,89,0.1111111111111111,83.0,8.682612228012996,64,77.25,83.5,90.0,98,0.10362047440699122,0.010839715640465663,0.079900124843945,0.09644194756554304,0.10424469413233454,0.1123595505617977,0.1223470661672908,-0.007490636704119882,0.007490636704119882
1,Att_Inc,Income,Attitude item on income/redistribution,114,0.14232209737827714,113.54,9.178968862990827,90,107.0,114.5,119.0,130,0.14174781523096125,0.011459386845182058,0.1123595505617977,0.1335830212234706,0.1429463171036204,0.1485642946317103,0.1622971285892634,-0.000574282147315891,0.000574282147315891
2,Att_Imm,Immigration,Attitude item on immigration,116,0.14481897627965043,116.68,11.167445398778266,88,109.25,117.5,125.5,136,0.14566791510611732,0.013941879399223806,0.1098626716604244,0.13639200998751555,0.14669163545568034,0.15667915106117347,0.1697877652933832,0.0008489388264668885,0.0008489388264668885
3,Att_Welf,Welfare,Attitude item on welfare,110,0.1373283395755306,115.12,7.020785466842622,101,110.0,116.0,120.0,126,0.14372034956304616,0.008765025551613771,0.1260923845193508,0.1373283395755306,0.1448189762796504,0.149812734082397,0.1573033707865168,0.006392009987515573,0.006392009987515573
4,Att_LGBT,LGBT,Attitude item on LGBT issues,58,0.07240948813982521,67.56,8.246607218259209,54,61.0,66.0,74.75,86,0.08434456928838947,0.010295389785592024,0.0674157303370786,0.0761548064918851,0.0823970037453183,0.09332084893882643,0.1073657927590511,0.011935081148564258,0.011935081148564258
5,Att_Busn,Business,Attitude item on business,110,0.1373283395755306,92.72,8.566760633699417,73,87.0,93.0,96.75,116,0.11575530586766536,0.010695081939699645,0.0911360799001248,0.1086142322097378,0.1161048689138576,0.12078651685393255,0.1448189762796504,-0.02157303370786523,0.02157303370786523
6,Att_Gun,Gun,Attitude item on gun policy,102,0.12734082397003746,107.96,8.186499588359123,87,104.0,108.5,111.75,127,0.1347815230961298,0.010220349049137479,0.1086142322097378,0.1298377028714107,0.1354556803995006,0.13951310861423216,0.1585518102372035,0.007440699126092354,0.007440699126092354
7,Att_Race,Race,Attitude item on race,102,0.12734082397003746,104.42,8.0384027248793,79,100.25,104.0,110.0,123,0.1303620474406991,0.01003545908224632,0.0986267166042447,0.12515605493133578,0.12983770287141072,0.1373283395755306,0.1535580524344569,0.003021223470661638,0.003021223470661638
