feature_index,feature_column,feature_label,observed_endpoint_changes,uniform_allocation,t1_marginal_disagreement,static_one_step_axelrod,dynamic_axelrod_mean,uniform_abs_error,t1_marginal_abs_error,static_one_step_abs_error,dynamic_axelrod_abs_error
0,Att_Abort,Abortion,89.0,100.125,89.17614408446065,79.34703499017226,83.0,11.125,0.17614408446064544,9.652965009827739,6.0
1,Att_Inc,Income,114.0,100.125,108.2458043042451,113.51651875965595,113.54,13.875,5.754195695754902,0.48348124034404805,0.45999999999999375
2,Att_Imm,Immigration,116.0,100.125,109.18315263092266,122.21750321750318,116.68,15.875,6.816847369077337,6.217503217503179,0.6800000000000068
3,Att_Welf,Welfare,110.0,100.125,108.41483433036726,119.5902485118171,115.12,9.875,1.5851656696327439,9.590248511817094,5.1200000000000045
4,Att_LGBT,LGBT,58.0,100.125,78.52469137776129,57.22374363158675,67.56,42.125,20.524691377761286,0.7762563684132502,9.560000000000002
5,Att_Busn,Business,110.0,100.125,97.29214639932728,95.16521451423424,92.72,9.875,12.70785360067272,14.834785485765764,17.28
6,Att_Gun,Gun,102.0,100.125,106.043291842653,114.48387154661671,107.96,1.875,4.043291842653005,12.483871546616712,5.959999999999994
7,Att_Race,Race,102.0,100.125,104.11993503026271,99.45586482841377,104.42,1.875,2.1199350302627096,2.544135171586234,2.4200000000000017
