experiment,script,seed,topology,grid_x,grid_y,N,edges,avg_degree,avg_k_target,n_features,n_traits,t_max,isolated_nodes,initial_unique_cultures,final_unique_cultures,frozen_step,frozen
q_sweep,axelrod_q_sweep,56,lattice,10,10,100,180,3.6,4,5,3,200000,0,78,1,47100,True
q_sweep,axelrod_q_sweep,57,lattice,10,10,100,180,3.6,4,5,3,200000,0,81,1,57000,True
q_sweep,axelrod_q_sweep,58,lattice,10,10,100,180,3.6,4,5,3,200000,0,79,1,50700,True
q_sweep,axelrod_q_sweep,59,lattice,10,10,100,180,3.6,4,5,3,200000,0,85,1,40700,True
q_sweep,axelrod_q_sweep,60,lattice,10,10,100,180,3.6,4,5,3,200000,0,82,1,54100,True
q_sweep,axelrod_q_sweep,61,lattice,10,10,100,180,3.6,4,5,3,200000,0,86,1,34300,True
q_sweep,axelrod_q_sweep,62,lattice,10,10,100,180,3.6,4,5,3,200000,0,85,1,55400,True
q_sweep,axelrod_q_sweep,63,lattice,10,10,100,180,3.6,4,5,3,200000,0,80,1,40700,True
q_sweep,axelrod_q_sweep,64,lattice,10,10,100,180,3.6,4,5,3,200000,0,82,1,41100,True
q_sweep,axelrod_q_sweep,65,lattice,10,10,100,180,3.6,4,5,3,200000,0,81,1,39500,True
q_sweep,axelrod_q_sweep,66,lattice,10,10,100,180,3.6,4,5,3,200000,0,84,1,52900,True
q_sweep,axelrod_q_sweep,67,lattice,10,10,100,180,3.6,4,5,3,200000,0,76,1,37200,True
q_sweep,axelrod_q_sweep,68,lattice,10,10,100,180,3.6,4,5,3,200000,0,76,1,50000,True
q_sweep,axelrod_q_sweep,69,lattice,10,10,100,180,3.6,4,5,3,200000,0,83,1,39600,True
q_sweep,axelrod_q_sweep,70,lattice,10,10,100,180,3.6,4,5,3,200000,0,85,1,30600,True
q_sweep,axelrod_q_sweep,71,lattice,10,10,100,180,3.6,4,5,3,200000,0,81,1,29700,True
q_sweep,axelrod_q_sweep,72,lattice,10,10,100,180,3.6,4,5,3,200000,0,84,1,30300,True
q_sweep,axelrod_q_sweep,73,lattice,10,10,100,180,3.6,4,5,3,200000,0,81,1,51500,True
q_sweep,axelrod_q_sweep,74,lattice,10,10,100,180,3.6,4,5,3,200000,0,82,1,123800,True
q_sweep,axelrod_q_sweep,75,lattice,10,10,100,180,3.6,4,5,3,200000,0,78,1,48500,True
q_sweep,axelrod_q_sweep,76,lattice,10,10,100,180,3.6,4,5,3,200000,0,86,1,97500,True
