experiment,script,seed,topology,grid_x,grid_y,N,edges,avg_degree,avg_k_target,n_features,n_traits,t_max,isolated_nodes,initial_unique_cultures,final_unique_cultures,frozen_step,frozen
f_sweep,axelrod_f_sweep,56,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,3,29600,True
f_sweep,axelrod_f_sweep,57,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,4,58500,True
f_sweep,axelrod_f_sweep,58,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,1,84000,True
f_sweep,axelrod_f_sweep,59,lattice,10,10,100,180,3.6,4,3,5,200000,0,74,4,65100,True
f_sweep,axelrod_f_sweep,60,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,2,35900,True
f_sweep,axelrod_f_sweep,61,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,5,40800,True
f_sweep,axelrod_f_sweep,62,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,4,20700,True
f_sweep,axelrod_f_sweep,63,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,5,35000,True
f_sweep,axelrod_f_sweep,64,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,3,88800,True
f_sweep,axelrod_f_sweep,65,lattice,10,10,100,180,3.6,4,3,5,200000,0,64,6,22700,True
f_sweep,axelrod_f_sweep,66,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,4,73100,True
f_sweep,axelrod_f_sweep,67,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,2,49200,True
f_sweep,axelrod_f_sweep,68,lattice,10,10,100,180,3.6,4,3,5,200000,0,58,1,94000,True
f_sweep,axelrod_f_sweep,69,lattice,10,10,100,180,3.6,4,3,5,200000,0,65,1,49000,True
f_sweep,axelrod_f_sweep,70,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,1,104500,True
f_sweep,axelrod_f_sweep,71,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,4,47100,True
